Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
2,Lamar Jackson,BAL,MIA,QB,318,3,-,119,1,-,-,-,-,-,-,-,42.62
2,Tua Tagovailoa,MIA,BAL,QB,469,6,2,1,-,-,-,-,-,-,-,-,38.86
2,Jalen Hurts,PHI,MIN,QB,333,1,1,57,2,-,-,-,-,-,-,-,33.02
2,Josh Allen,BUF,TEN,QB,317,4,-,10,-,-,-,-,-,-,-,-,29.68
2,Carson Wentz,WAS,DET,QB,337,3,1,23,-,-,-,-,-,-,1,-,27.78
2,Joe Flacco,NYJ,CLE,QB,307,4,-,6,-,-,-,-,-,-,-,1,26.88
2,Jared Goff,DET,WAS,QB,256,4,-,-2,-,-,-,-,-,-,-,-,26.04
2,Kyler Murray,ARI,LV,QB,277,1,1,28,1,-,-,-,-,-,2,-,25.88
2,Justin Herbert,LAC,KC,QB,334,3,1,1,-,-,-,-,-,-,-,-,23.46
2,Derek Carr,LV,ARI,QB,252,2,-,9,-,-,-,-,-,-,-,-,18.98
2,Matthew Stafford,LA,ATL,QB,272,3,2,-,-,-,-,-,-,-,-,-,18.88
2,Trevor Lawrence,JAX,IND,QB,235,2,-,11,-,-,-,-,-,-,-,-,18.5
2,Patrick Mahomes,KC,LAC,QB,235,2,-,-1,-,-,-,-,-,-,-,-,17.3
2,Jimmy Garoppolo,SF,SEA,QB,154,1,-,5,1,-,-,-,-,-,-,-,16.66
2,Joe Burrow,CIN,DAL,QB,199,1,-,26,-,-,-,-,-,-,1,-,16.56
2,Aaron Rodgers,GB,CHI,QB,234,2,-,10,-,-,-,-,-,-,-,1,16.36
2,Jacoby Brissett,CLE,NYJ,QB,229,1,1,43,-,-,-,-,-,-,-,-,15.46
2,Cooper Rush,DAL,CIN,QB,235,1,-,2,-,-,-,-,-,-,-,-,13.6
2,Marcus Mariota,ATL,LA,QB,196,2,2,16,-,-,-,-,-,-,1,1,13.44
2,Baker Mayfield,CAR,NYG,QB,145,1,-,35,-,-,-,-,-,-,-,-,13.3
2,Daniel Jones,NYG,CAR,QB,176,1,-,21,-,-,-,-,-,-,-,-,13.14
