,,,,,Passing,,,Rushing,,Receiving,,,Returns,Misc,,Fumbles,Fantasy
Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,2PT,Lost,Points
5,Josh Allen,BUF,PIT,QB,424,4,1,42,-,-,-,-,-,-,-,-,35.16
5,Patrick Mahomes,KC,LV,QB,292,4,-,28,-,-,-,-,-,-,-,-,30.48
5,Jalen Hurts,PHI,ARI,QB,239,-,-,61,2,-,-,-,-,-,-,-,27.66
5,Geno Smith,SEA,NO,QB,268,3,-,13,-,-,-,-,-,-,-,-,24.02
5,Kirk Cousins,MIN,CHI,QB,296,1,1,4,1,-,-,-,-,-,1,-,22.24
5,Carson Wentz,WAS,TEN,QB,359,2,1,15,-,-,-,-,-,-,-,-,21.86
5,Tom Brady,TB,ATL,QB,351,1,-,-3,-,-,-,-,-,-,1,-,19.74
5,Jimmy Garoppolo,SF,CAR,QB,253,2,-,-1,-,-,-,-,-,-,-,-,18.02
5,Marcus Mariota,ATL,TB,QB,147,1,-,61,-,-,-,-,-,-,1,-,17.98
5,Derek Carr,LV,KC,QB,241,2,-,3,-,-,-,-,-,-,-,-,17.94
5,Joe Burrow,CIN,BAL,QB,217,1,1,6,1,-,-,-,-,-,-,-,17.28
5,Justin Fields,CHI,MIN,QB,208,1,-,47,-,-,-,-,-,-,-,-,17.02
5,Aaron Rodgers,GB,NYG,QB,222,2,-,-,-,-,-,-,-,-,-,-,16.88
5,Kyler Murray,ARI,PHI,QB,250,1,1,42,-,-,-,-,-,-,-,-,16.2
5,Lamar Jackson,BAL,CIN,QB,174,1,1,58,-,-,-,-,-,-,-,-,14.76
5,Zach Wilson,NYJ,MIA,QB,210,-,-,2,1,-,-,-,-,-,-,-,14.6
5,Justin Herbert,LAC,CLE,QB,228,1,-,13,-,-,-,-,-,-,-,-,14.42
5,Jacoby Brissett,CLE,LAC,QB,230,1,1,32,-,-,-,-,-,-,-,-,14.4
5,Daniel Jones,NYG,GB,QB,217,-,-,37,-,-,-,-,-,-,-,-,12.38
5,Kenny Pickett,PIT,BUF,QB,327,-,1,10,-,-,-,-,-,-,-,-,12.08
5,Ryan Tannehill,TEN,WAS,QB,181,1,-,3,-,-,-,-,-,-,-,-,11.54
5,Trevor Lawrence,JAX,HOU,QB,286,-,2,29,-,-,-,-,-,-,-,-,10.34
5,Matthew Stafford,LA,DAL,QB,308,1,1,-,-,-,-,-,-,-,-,2,10.32
5,Bailey Zappe,NE,DET,QB,188,1,1,5,-,-,-,-,-,-,-,-,10.02
5,Andy Dalton,NO,SEA,QB,187,1,1,4,-,-,-,-,-,-,-,-,9.88
5,Russell Wilson,DEN,IND,QB,274,-,2,22,-,-,-,-,-,-,-,-,9.16
5,Baker Mayfield,CAR,SF,QB,215,-,1,-,-,-,-,-,-,-,-,-,6.6
5,Matt Ryan,IND,DEN,QB,251,-,2,1,-,-,-,-,-,-,-,-,6.14
5,Jared Goff,DET,NE,QB,229,-,1,7,-,-,-,-,-,-,-,1,5.86
5,Davis Mills,HOU,JAX,QB,140,-,-,2,-,-,-,-,-,-,-,-,5.8
5,Cooper Rush,DAL,LA,QB,102,-,-,-1,-,-,-,-,-,-,-,-,3.98
5,Skylar Thompson,MIA,NYJ,QB,166,-,1,-,-,-,-,-,-,-,-,1,2.64
5,P.J. Walker,CAR,SF,QB,60,-,-,-,-,-,-,-,-,-,-,-,2.4
5,Case Keenum,BUF,PIT,QB,8,-,-,-2,-,-,-,-,-,-,-,-,0.12
5,Brock Purdy,SF,CAR,QB,-,-,-,-1,-,-,-,-,-,-,-,-,-0.1
5,Austin Ekeler,LAC,CLE,RB,-,-,-,173,1,4,26,1,-,-,-,-,35.9
5,Leonard Fournette,TB,ATL,RB,-,-,-,56,1,10,83,1,-,-,-,-,35.9
5,Josh Jacobs,LV,KC,RB,-,-,-,154,1,5,39,-,-,-,-,-,30.3
5,Breece Hall,NYJ,MIA,RB,-,-,-,97,1,2,100,-,-,-,-,-,27.7
5,Derrick Henry,TEN,WAS,RB,-,-,-,102,2,2,30,-,-,-,-,-,27.2
5,Dalvin Cook,MIN,CHI,RB,-,-,-,94,2,2,27,-,-,-,-,-,26.1
