Week,Player,Team,Against,Pos,Yds,TD,Int,Yds,TD,Rec,Yds,TD,TD,FumTD,TwoPT,Lost,Points
1,Patrick Mahomes,KC,ARI,QB,360,5,-,5,-,-,-,-,-,-,-,-,34.9
1,Josh Allen,BUF,LA,QB,297,3,2,56,1,-,-,-,-,-,-,-,31.48
1,Carson Wentz,WAS,JAX,QB,313,4,2,12,-,-,-,-,-,-,1,-,27.72
1,Jalen Hurts,PHI,DET,QB,243,-,-,90,1,-,-,-,-,-,-,-,24.72
1,Justin Herbert,LAC,LV,QB,279,3,-,1,-,-,-,-,-,-,-,-,23.26
1,Jameis Winston,NO,ATL,QB,269,2,-,9,-,-,-,-,-,-,1,-,21.66
1,Kyler Murray,ARI,KC,QB,193,2,-,29,-,-,-,-,-,-,1,-,20.62
1,Lamar Jackson,BAL,NYJ,QB,213,3,1,17,-,-,-,-,-,-,-,-,20.22
1,Marcus Mariota,ATL,NO,QB,215,-,-,72,1,-,-,-,-,-,-,1,19.8
1,Ryan Tannehill,TEN,NYG,QB,266,2,-,7,-,-,-,-,-,-,-,-,19.34
1,Kirk Cousins,MIN,GB,QB,277,2,-,-,-,-,-,-,-,-,-,-,19.08
1,Joe Burrow,CIN,PIT,QB,338,2,4,47,-,-,-,-,-,-,1,1,18.22
1,Baker Mayfield,CAR,CLE,QB,235,1,1,6,1,-,-,-,-,-,-,-,18
1,Russell Wilson,DEN,SEA,QB,340,1,-,2,-,-,-,-,-,-,-,-,17.8
1,Geno Smith,SEA,DEN,QB,195,2,-,14,-,-,-,-,-,-,-,-,17.2
1,Daniel Jones,NYG,TEN,QB,188,2,1,25,-,-,-,-,-,-,1,1,16.02
1,Jared Goff,DET,PHI,QB,215,2,1,9,-,-,-,-,-,-,-,-,15.5
1,Davis Mills,HOU,IND,QB,240,2,-,-1,-,-,-,-,-,-,-,1,15.5
1,Matt Ryan,IND,HOU,QB,352,1,1,12,-,-,-,-,-,-,-,1,15.28
1,Tua Tagovailoa,MIA,NE,QB,270,1,-,-,-,-,-,-,-,-,-,-,14.8
1,Joe Flacco,NYJ,BAL,QB,309,1,1,-,-,-,-,-,-,-,-,-,14.36
1,Derek Carr,LV,LAC,QB,295,2,3,-,-,-,-,-,-,-,-,-,13.8
1,Justin Fields,CHI,SF,QB,121,2,1,28,-,-,-,-,-,-,-,-,13.64
1,Trevor Lawrence,JAX,WAS,QB,275,1,1,4,-,-,-,-,-,-,-,-,13.4
1,Mitchell Trubisky,PIT,CIN,QB,194,1,-,9,-,-,-,-,-,-,-,-,12.66
1,Jacoby Brissett,CLE,CAR,QB,147,1,-,10,-,-,-,-,-,-,-,-,10.88
1,Tom Brady,TB,DAL,QB,212,1,1,-1,-,-,-,-,-,-,-,-,10.38
1,Trey Lance,SF,CHI,QB,164,-,1,54,-,-,-,-,-,-,-,-,9.96
1,Mac Jones,NE,MIA,QB,213,1,1,-,-,-,-,-,-,-,-,1,8.52
1,Matthew Stafford,LA,BUF,QB,240,1,3,2,-,-,-,-,-,-,-,-,7.8
1,Dak Prescott,DAL,TB,QB,134,-,1,11,-,-,-,-,-,-,-,-,4.46
1,Aaron Rodgers,GB,MIN,QB,195,-,1,-1,-,-,-,-,-,-,-,1,3.7
1,Armani Rogers,WAS,JAX,QB,-,-,-,-,-,1,23,-,-,-,-,-,3.3
1,Jordan Love,GB,MIN,QB,65,-,-,-,-,-,-,-,-,-,-,-,2.6
1,Cooper Rush,DAL,TB,QB,64,-,-,-,-,-,-,-,-,-,-,-,2.56
1,Trace McSorley,ARI,KC,QB,12,-,-,20,-,-,-,-,-,-,-,-,2.48
1,Taylor Heinicke,WAS,JAX,QB,-,-,-,-,-,1,5,-,-,-,-,-,1.5
1,Brandon Allen,CIN,PIT,QB,-,-,-,-,-,1,-,-,-,-,-,-,1
1,Jeff Driskel,HOU,IND,QB,-,-,-,5,-,-,-,-,-,-,-,-,0.5
1,Saquon Barkley,NYG,TEN,RB,-,-,-,164,1,6,30,-,-,-,1,-,33.4
1,Jonathan Taylor,IND,HOU,RB,-,-,-,161,1,4,14,-,-,-,-,-,27.5
1,D'Andre Swift,DET,PHI,RB,-,-,-,144,1,3,31,-,-,-,-,-,26.5
1,Kareem Hunt,CLE,CAR,RB,-,-,-,46,1,4,24,1,-,-,-,-,23
1,Cordarrelle Patterson,ATL,NO,RB,-,-,-,120,1,3,16,-,-,-,-,-,22.6
1,Clyde Edwards-Helaire,KC,ARI,RB,-,-,-,42,-,3,32,2,-,-,-,-,22.4
1,Dontrell Hilliard,TEN,NYG,RB,-,-,-,8,-,3,61,2,-,-,-,-,21.9
1,Joe Mixon,CIN,PIT,RB,-,-,-,82,-,7,63,-,-,-,-,-,21.5
1,AJ Dillon,GB,MIN,RB,-,-,-,45,1,5,46,-,-,-,-,-,20.1
1,Antonio Gibson,WAS,JAX,RB,-,-,-,58,-,7,72,-,-,-,-,-,20
1,James Robinson,JAX,WAS,RB,-,-,-,66,1,1,3,1,-,-,-,-,19.9
1,Javonte Williams,DEN,SEA,RB,-,-,-,43,-,11,65,-,-,-,-,1,19.8
1,Miles Sanders,PHI,DET,RB,-,-,-,96,1,2,9,-,-,-,-,-,18.5
1,Michael Carter,NYJ,BAL,RB,-,-,-,60,-,7,40,-,-,-,-,-,17
1,James Conner,ARI,KC,RB,-,-,-,26,1,5,29,-,-,-,-,-,16.5
1,Jamaal Williams,DET,PHI,RB,-,-,-,28,2,1,2,-,-,-,-,-,16
1,Leonard Fournette,TB,DAL,RB,-,-,-,127,-,2,10,-,-,-,-,-,15.7
1,Christian McCaffrey,CAR,CLE,RB,-,-,-,33,1,4,24,-,-,-,-,-,15.7
1,Nick Chubb,CLE,CAR,RB,-,-,-,141,-,1,2,-,-,-,-,-,15.3
1,Dalvin Cook,MIN,GB,RB,-,-,-,90,-,3,18,-,-,-,-,-,13.8
1,Darrell Henderson,LA,BUF,RB,-,-,-,47,-,5,26,-,-,-,-,-,12.3
1,Isiah Pacheco,KC,ARI,RB,-,-,-,62,1,-,-,-,-,-,-,-,12.2
1,Rex Burkhead,HOU,IND,RB,-,-,-,40,-,5,30,-,-,-,-,-,12
1,Nyheim Hines,IND,HOU,RB,-,-,-,4,-,6,50,-,-,-,-,-,11.4
1,Khalil Herbert,CHI,SF,RB,-,-,-,45,1,1,-2,-,-,-,-,-,11.3
1,Austin Ekeler,LAC,LV,RB,-,-,-,36,-,4,36,-,-,-,-,-,11.2
1,Kenneth Gainwell,PHI,DET,RB,-,-,-,20,1,2,12,-,-,-,-,-,11.2
1,Brandon Bolden,LV,LAC,RB,-,-,-,7,-,2,21,1,-,-,-,-,10.8
1,Najee Harris,PIT,CIN,RB,-,-,-,23,-,2,3,1,-,-,-,-,10.6
1,Aaron Jones,GB,MIN,RB,-,-,-,49,-,3,27,-,-,-,-,-,10.6
1,Chase Edmonds,MIA,NE,RB,-,-,-,25,-,4,40,-,-,-,-,-,10.5
1,Breece Hall,NYJ,BAL,RB,-,-,-,23,-,6,38,-,-,-,-,1,10.1
1,Eno Benjamin,ARI,KC,RB,-,-,-,28,-,3,33,-,-,-,-,-,9.1
1,Zander Horvath,LAC,LV,RB,-,-,-,2,-,2,6,1,-,-,-,-,8.8
1,Rashaad Penny,SEA,DEN,RB,-,-,-,60,-,2,7,-,-,-,-,-,8.7
1,Travis Etienne,JAX,WAS,RB,-,-,-,47,-,2,18,-,-,-,-,-,8.5
1,Josh Jacobs,LV,LAC,RB,-,-,-,57,-,1,16,-,-,-,-,-,8.3
1,Derrick Henry,TEN,NYG,RB,-,-,-,82,-,-,-,-,-,-,-,-,8.2
1,Devin Singletary,BUF,LA,RB,-,-,-,48,-,2,14,-,-,-,-,-,8.2
1,David Montgomery,CHI,SF,RB,-,-,-,26,-,3,24,-,-,-,-,-,8
1,Jerick McKinnon,KC,ARI,RB,-,-,-,22,-,3,27,-,-,-,-,-,7.9
1,Damien Harris,NE,MIA,RB,-,-,-,48,-,2,10,-,-,-,-,-,7.8
1,J.D. McKissic,WAS,JAX,RB,-,-,-,8,-,3,20,-,-,-,1,-,7.8
1,Alvin Kamara,NO,ATL,RB,-,-,-,39,-,3,7,-,-,-,-,-,7.6
1,Zack Moss,BUF,LA,RB,-,-,-,15,-,6,21,-,-,-,-,1,7.6
